,time,min,avg,max,norm_factor
326,1712369047.6313033,0.333,0.36661,0.386,0.45884
327,1712369170.131755,0.321,0.36335,0.39,0.42341
328,1712369592.6305425,0.309,0.35028,0.41,0.42843
329,1712369715.0811977,0.229,0.36435,0.434,0.44728
330,1712369837.5355647,0.189,0.40682,0.458,0.44276
331,1712369948.9345791,0.366,0.43244,0.47,0.44904
332,1712370082.4102912,0.289,0.36862,0.442,0.4611
333,1712370493.7862597,0.257,0.40707,0.474,0.46788
334,1712370572.0367117,0.341,0.42139,0.482,0.44376
335,1712370672.3908124,0.293,0.36385,0.438,0.43848
336,1712370794.8587205,0.297,0.38998,0.422,0.45733
337,1712370906.2785237,0.354,0.44099,0.47,0.44954
338,1712371350.8369627,0.221,0.37013,0.414,0.44728
339,1712371484.330232,0.354,0.43194,0.466,0.4714
340,1712371617.8362653,0.337,0.4146,0.47,0.46009
341,1712371740.2751033,0.289,0.40204,0.454,0.45808
342,1712371862.7384617,0.341,0.4038,0.482,0.45833
343,1712372285.2508447,0.261,0.39249,0.454,0.46637
344,1712372407.7339804,0.269,0.40204,0.458,0.45708
345,1712372541.2615294,0.12,0.4244,0.462,0.45532
346,1712372663.730744,0.358,0.39099,0.454,0.46939
347,1712372786.1707952,0.193,0.43923,0.474,0.45532
348,1712373208.6619527,0.354,0.38345,0.45,0.4513
349,1712373331.1171875,0.221,0.37817,0.474,0.45933999999999997
350,1712373453.5855572,0.193,0.41913,0.458,0.47542
351,1712373531.8110328,0.233,0.39199,0.466,0.43371
352,1712373598.9915564,0.237,0.41913,0.466,0.41788
353,1712374021.483447,0.157,0.33847,0.418,0.45683
354,1712374166.0211112,0.185,0.41084,0.466,0.46688
355,1712374288.4959621,0.281,0.39777,0.486,0.44577
356,1712374366.7508302,0.313,0.44852,0.486,0.41587
357,1712374478.128861,0.241,0.39476,0.47,0.45331
358,1712374900.6164362,0.237,0.37993,0.438,0.45909
359,1712375023.0672452,0.285,0.41058,0.454,0.45833
360,1712375101.335433,0.261,0.4239,0.462,0.43974
361,1712375212.7513993,0.317,0.41913,0.47,0.45708
362,1712375346.2857976,0.249,0.39626,0.426,0.4616
363,1712375757.717366,0.366,0.41837,0.462,0.4317
364,1712375891.1934245,0.257,0.38797,0.414,0.45381
365,1712376013.6418893,0.253,0.40757,0.466,0.46487
366,1712376136.1109147,0.233,0.44199,0.482,0.45406
367,1712376258.5862193,0.313,0.41084,0.466,0.44501999999999997
368,1712376692.1087935,0.185,0.36963,0.434,0.45884
369,1712376847.6835942,0.273,0.41536,0.47,0.45683
370,1712376948.0424118,0.394,0.44023,0.47,0.43622
371,1712377070.491032,0.285,0.37189,0.402,0.43974
372,1712377192.951085,0.309,0.37465,0.414,0.43346
373,1712377615.4367595,0.193,0.38018,0.434,0.4415
374,1712377737.8972628,0.305,0.39476,0.462,0.44125
375,1712377860.3655648,0.297,0.40656,0.454,0.44601999999999997
376,1712377982.8176868,0.317,0.39777,0.458,0.45255
377,1712378105.276648,0.358,0.40129,0.446,0.45507
378,1712378527.7308686,0.301,0.39752,0.458,0.44904
379,1712378661.2583506,0.257,0.37867,0.418,0.4518
380,1712378772.671875,0.35,0.42767,0.47,0.45255
381,1712378906.1961641,0.245,0.41234,0.446,0.46085
382,1712379017.6090136,0.406,0.45254,0.47,0.43119999999999997
383,1712379462.1720588,0.185,0.31787,0.406,0.44652
384,1712379573.5866919,0.325,0.41335,0.458,0.44803
385,1712379651.8428574,0.317,0.41109,0.466,0.42743
386,1712379774.3256695,0.329,0.38219,0.41,0.45482
387,1712379896.80163,0.269,0.39149,0.426,0.43773
388,1712380319.2604606,0.249,0.39551,0.462,0.42969
389,1712380452.7876322,0.346,0.37641,0.434,0.44376
390,1712380553.1580856,0.406,0.42893,0.478,0.42868
391,1712380620.3500242,0.333,0.42792,0.446,0.41889
392,1712380687.5469697,0.378,0.4244,0.462,0.42667
393,1712381121.0927677,0.265,0.30154,0.358,0.42165
394,1712381265.648801,0.277,0.3636,0.406,0.44652
395,1712381377.0363305,0.337,0.41938,0.442,0.4121
396,1712381477.429142,0.313,0.41008,0.43,0.39703
397,1712381622.0160046,0.277,0.32516,0.402,0.43321
398,1712382011.3439343,0.341,0.38822,0.43,0.40331
399,1712382111.7191854,0.289,0.31837,0.39,0.40657
400,1712382223.169108,0.321,0.37943,0.422,0.42718
401,1712382356.7142184,0.241,0.37641,0.434,0.43622
402,1712382479.1513486,0.189,0.37993,0.45,0.39929
403,1712382901.6458058,0.136,0.35908,0.418,0.42642
404,1712383013.0532966,0.354,0.42013,0.462,0.43723
405,1712383146.5638735,0.289,0.39978,0.438,0.45054
406,1712383258.0121925,0.366,0.44149,0.47,0.42667
407,1712383380.4857488,0.253,0.36385,0.422,0.43095
408,1712383791.8702762,0.205,0.36511,0.434,0.42115
409,1712383914.3254666,0.325,0.39953,0.45,0.44652
410,1712384036.7732897,0.325,0.40933,0.438,0.44276
411,1712384170.318738,0.237,0.38295,0.446,0.43296
412,1712384325.9582772,0.257,0.38772,0.422,0.45657
413,1712384737.363291,0.221,0.39878,0.426,0.41612
414,1712384870.8763366,0.241,0.37666,0.418,0.43748
415,1712384982.2958195,0.337,0.41033,0.466,0.43949
416,1712385115.8412063,0.249,0.39727,0.434,0.45884
417,1712385238.2783446,0.333,0.40656,0.466,0.42366
418,1712385671.807309,0.181,0.35305,0.414,0.44527
419,1712385816.3510778,0.281,0.4131,0.458,0.44929
420,1712385972.0213754,0.241,0.38345,0.438,0.44024
421,1712386094.491301,0.233,0.39777,0.454,0.44652
422,1712386239.0469925,0.341,0.4234,0.466,0.44024
423,1712386617.3437858,0.37,0.41762,0.454,0.41939
424,1712386684.5642002,0.35,0.42089,0.45,0.41788
425,1712386762.836303,0.325,0.41862,0.454,0.42366
426,1712386863.2062917,0.321,0.42038,0.454,0.42693
427,1712386952.496395,0.325,0.41661,0.458,0.42994
428,1712387352.8597984,0.249,0.39651,0.446,0.43245
429,1712387486.377525,0.261,0.4146,0.45,0.45004
430,1712387597.8571408,0.43,0.44124,0.462,0.41713
431,1712387676.2421434,0.273,0.40983,0.454,0.41537
432,1712387832.2773025,0.257,0.37742,0.45,0.43698
433,1712388222.033799,0.366,0.42867,0.474,0.44451
434,1712388311.4516156,0.341,0.41285,0.45,0.43773
435,1712388456.3027418,0.277,0.34576,0.41,0.45557
436,1712388601.300762,0.265,0.38923,0.414,0.43622
437,1712388757.1576066,0.305,0.38747,0.418,0.45331
438,1712389202.2025554,0.277,0.36058,0.434,0.44627
439,1712389347.0909934,0.354,0.43923,0.458,0.44175
440,1712389481.0680883,0.285,0.38822,0.446,0.43421
441,1712389604.1025167,0.305,0.40506,0.45,0.43974
442,1712389682.7930593,0.305,0.40857,0.45,0.40381
443,1712390061.371105,0.257,0.393,0.45,0.41989
444,1712390195.3457768,0.289,0.39551,0.454,0.44426
445,1712390351.3412986,0.225,0.394,0.418,0.42843
446,1712390496.3748124,0.277,0.41184,0.458,0.4518
447,1712390597.236795,0.41,0.45079,0.47,0.42215
448,1712391008.9576082,0.265,0.39224,0.458,0.42843
449,1712391131.8170106,0.317,0.40305,0.462,0.43848
450,1712391199.3817964,0.313,0.41259,0.462,0.41612
451,1712391333.3185482,0.237,0.39752,0.45,0.43873
452,1712391422.9442592,0.354,0.43169,0.466,0.42843
453,1712391812.834898,0.313,0.39174,0.45,0.44351
454,1712391947.0235164,0.297,0.42189,0.45,0.44049
455,1712392092.0630586,0.325,0.42139,0.462,0.442
456,1712392225.947027,0.233,0.40606,0.454,0.44929
457,1712392370.7786603,0.333,0.42063,0.438,0.43119999999999997
458,1712392793.690646,0.233,0.3842,0.434,0.44326
459,1712392916.518973,0.354,0.42541,0.454,0.43245
460,1712393050.3745005,0.237,0.38521,0.43,0.42341
461,1712393173.1161594,0.253,0.39375,0.438,0.42617
462,1712393251.9282691,0.261,0.37139,0.442,0.41286
463,1712393663.8740406,0.213,0.36913,0.43,0.43119999999999997
464,1712393742.3987815,0.257,0.37993,0.446,0.39527
465,1712393865.2371006,0.241,0.37742,0.438,0.441
466,1712393999.110649,0.378,0.42365,0.462,0.42165
467,1712394132.851308,0.333,0.38998,0.454,0.43723
468,1712394522.4398692,0.366,0.42239,0.462,0.42944
469,1712394634.2286644,0.253,0.37867,0.422,0.43321
470,1712394757.0686567,0.317,0.38722,0.418,0.4121
471,1712394879.9057064,0.305,0.38194,0.414,0.4013
