,time,x,z
2687,1712481395.0088851,0.0,-5.0
2688,1712481406.0694947,-10.0,0.0
2689,1712481450.2460299,0.0,15.0
2690,1712481517.4989161,0.0,-10.0
2691,1712481528.5557806,-10.0,0.0
2692,1712481550.6221898,0.0,5.0
2693,1712481606.815473,0.0,-5.0
2694,1712481617.8627782,-10.0,0.0
2695,1712481662.0528665,0.0,15.0
2696,1712481740.3334866,0.0,-15.0
2697,1712481751.3885229,-10.0,0.0
2698,1712481806.5990126,0.0,20.0
2699,1712481884.9017947,0.0,-15.0
2700,1712481895.9618237,-10.0,0.0
2701,1712481951.211918,0.0,20.0
2702,1712482351.6089575,0.0,-25.0
2703,1712482362.6630669,-10.0,0.0
2704,1712482451.0496218,0.0,35.0
2705,1712482518.267776,0.0,-10.0
2706,1712482529.324817,-10.0,0.0
2707,1712482573.4915805,0.0,15.0
2708,1712482651.8210292,0.0,-15.0
2709,1712482662.8769302,-10.0,0.0
2710,1712482718.1108491,0.0,20.0
2711,1712482796.402813,0.0,-15.0
2712,1712482807.451413,-10.0,0.0
2713,1712482873.7225177,0.0,25.0
2714,1712482940.9711082,0.0,-10.0
2715,1712482952.0132365,-10.0,0.0
2716,1712482996.2140179,0.0,15.0
2717,1712483374.5134761,0.0,-15.0
2718,1712483385.5590665,-10.0,0.0
2719,1712483440.7967803,0.0,20.0
2720,1712483508.0046725,0.0,-10.0
2721,1712483519.0539386,-10.0,0.0
2722,1712483563.24462,0.0,15.0
2723,1712483630.5322251,0.0,-10.0
2724,1712483641.573712,-10.0,0.0
2725,1712483685.7674167,0.0,15.0
2726,1712483775.099974,0.0,-20.0
2727,1712483786.1492658,-10.0,0.0
2728,1712483852.4370828,0.0,25.0
2729,1712483941.7661598,0.0,-20.0
2730,1712483952.8224592,-10.0,0.0
2731,1712484030.1437688,0.0,30.0
2732,1712484408.437174,0.0,-15.0
2733,1712484419.486077,-10.0,0.0
2734,1712484474.7087982,0.0,20.0
2735,1712484553.0035584,0.0,-15.0
2736,1712484564.0578291,-10.0,0.0
2737,1712484619.3127599,0.0,20.0
2738,1712484686.5587049,0.0,-10.0
2739,1712484697.609079,-10.0,0.0
2740,1712484741.8030434,0.0,15.0
2741,1712484809.0439522,0.0,-10.0
2742,1712484820.0959852,-10.0,0.0
2743,1712484864.2567203,0.0,15.0
2744,1712484931.4789894,0.0,-10.0
2745,1712484942.5488126,-10.0,0.0
2746,1712484986.734169,0.0,15.0
2747,1712485354.1091607,0.0,-10.0
2748,1712485365.1587267,-10.0,0.0
2749,1712485409.3298035,0.0,15.0
2750,1712485476.556906,0.0,-10.0
2751,1712485487.6074245,-10.0,0.0
2752,1712485531.784856,0.0,15.0
2753,1712485598.9952564,0.0,-10.0
2754,1712485610.0416455,-10.0,0.0
2755,1712485654.2129114,0.0,15.0
2756,1712485732.5097728,0.0,-15.0
2757,1712485743.5638976,-10.0,0.0
2758,1712485798.8067524,0.0,20.0
2759,1712485877.085452,0.0,-15.0
2760,1712485888.1520905,-10.0,0.0
2761,1712485943.3875213,0.0,20.0
2762,1712486310.6307464,0.0,-10.0
2763,1712486321.676474,-10.0,0.0
2764,1712486365.8531287,0.0,15.0
2765,1712486444.1407557,0.0,-15.0
2766,1712486455.2068236,-10.0,0.0
